1650296931,column,column,column,column,2827061,Техника для кухни >> Крупная техника,akpo,___akpo_pia_6804,column,16145,1,httpscomfyuavarochnajapaneljelektricheskajaakpopia6804html,column,05112025_2102,column,__42,Фастів,0
1650654665,,,,,.2779228,"Аудио, фото и видео >> Аксессуары для фото, видео",sony,Карта пам'яті Sony CFexpress Type A 320GB R800/W700 Tough (CEAG320T.SYM),,37699,1,https://comfy.ua/karta-pamjati-sony-cfexpress-type-a-320gb-r800-w700-tough-ceag320t-sym.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1650654814,6930428,PHILIPS,Насадки для влажной уборки PHILIPS XV1430/00,999,2822217,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Philips,philips,Набір насадок-мікрофібр для пилососа Philips XV1430/00,,999,1,https://comfy.ua/nabor-nasadok-mikrofibr-dlja-pylesosa-philips-xv1430-00.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1650657948,6970494,TRANSCEND,Флеш-драйв TRANSCEND JetFlash 700 256 GB (TS256GJF700),969,2754819,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Transcend",transcend,Флеш USB Transcend 256GB JetFlash 700 (TS256GJF700),,875,1,https://comfy.ua/flesh-usb-transcend-256gb-jetflash-700-ts256gjf700.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
1650657948,6986640,TRANSCEND,Флеш-драйв TRANSCEND JetFlash 700 256GB Black (TS256GJF700),897,2754819,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Transcend",transcend,Флеш USB Transcend 256GB JetFlash 700 (TS256GJF700),,875,1,https://comfy.ua/flesh-usb-transcend-256gb-jetflash-700-ts256gjf700.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
1650660791,,,,,.2824265,Игровые консоли и гейминг >> Комплектующие для игровых ПК,deepcool,Процесорний кулер Deepcool AK500 Digital (R-AK500-BKADMN-G),,3519,1,https://comfy.ua/processornyj-kuler-deepcool-ak500-digital-r-ak500-bkadmn-g.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1650674149,6951346,CANYON,Мышь CANYON MW-21 Burgundy (CNS-CMSW21BR),349,2829736,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Canyon",canyon,Миша бездротова Canyon MW-21 Burgundy (CNS-CMSW21BR),,349,1,https://comfy.ua/mysh-besprovodnaja-canyon-mw-21-burgundy-cns-cmsw21br.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1650674152,6951347,CANYON,Мышь CANYON MW-21 Cosmic Latte (CNS-CMSW21CL),349,2829737,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Canyon",canyon,Миша бездротова Canyon MW-21 Cosmic Latte (CNS-CMSW21CL),,349,1,https://comfy.ua/mysh-besprovodnaja-canyon-mw-21-cosmic-latte-cns-cmsw21cl.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1650676005,6951318,MILANO,Электрочайник MILANO KT-3001 YB Rainbow,329,2828215,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Milano,milano,Електричний чайник Milano KT-3001 YB,,329,1,https://comfy.ua/jelektricheskij-chajnik-milano-kt-3001-yb.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1650676006,6951317,MILANO,Электрочайник MILANO KT-3001 RB Rainbow (1001103),329,2828214,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Milano,milano,Електричний чайник Milano KT-3001 RB,,329,1,https://comfy.ua/jelektricheskij-chajnik-milano-kt-3001-rb.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1650676007,6951319,MILANO,Электрочайник MILANO KT-4001 B Total Black (1001105),459,2828216,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Milano,milano,Електричний чайник Milano KT-4001 B,,429,1,https://comfy.ua/jelektricheskij-chajnik-milano-kt-4001-b.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1650676008,6996135,HOLMER,Электрочайник HOLMER HKS-220SS,378,2780206,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Holmer,holmer,Електричний чайник Holmer HKS-220SS,,449,1,https://comfy.ua/jelektricheskij-chajnik-holmer-hks-220ss.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
