1091183185,column,column,column,column,1925912,_______________beaba,beaba,___beaba_green_920383,column,485,1,httpscomfyuatermometrdljavannybeabagreen920383html,column,05112025_2049,column,__42,Фастів,0
1091664605,6792426,BORMIOLI ROCCO,Салатник BORMIOLI ROCCO MR CHEF 26 см 2000 мл (500050DN8021990),258,1881360,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Bormioli Rocco,bormioli-rocco,Салатник Bormioli Rocco Mr. Chef 26 см 2000 мл (500050DN8021990),,518,1,https://comfy.ua/salatnik-bormioli-rocco-mr-chef-26-sm-2000-ml-500050dn8021990.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1091664614,6792427,BORMIOLI ROCCO,Салатник BORMIOLI ROCCO MR CHEF 30 см 3000 мл (500060DN8021990),527,1881361,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Bormioli Rocco,bormioli-rocco,Салатник Bormioli Rocco Mr. Chef 30 см 3000 мл (500060DN8021990),,595,1,https://comfy.ua/salatnik-bormioli-rocco-mr-chef-30-sm-3000-ml-500060dn8021990.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1091668530,6789485,ARDESTO,Форма для запекания ARDESTO BLACK MARS 1.5+0.3 л (AR2415BG),355,1885729,Посуда >> Для запекания и выпечки,ardesto,Форма для приготування Ardesto Black Mars 1.5 л (AR2415BG),,355,1,https://comfy.ua/catalog/product/view/id/3344363,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1091675342,6789445,ARDESTO,Ложка ARDESTO Midori (AR3017GB),125,1909591,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Ardesto,ardesto,Ложка кухарська Ardesto Midori (AR3017GB),,149,1,https://comfy.ua/lozhka-povarskaja-ardesto-midori-ar3017gb.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1091686381,6789443,ARDESTO,Точилка для ножей ARDESTO Gemini AR2133SS,265,1909540,Посуда >> Нарезка и измельчение >> Точила для ножей >> Точила для ножей Ardesto,ardesto,Точилка кухонних ножів Ardesto Gemini (AR2133SS),,265,1,https://comfy.ua/tochilka-kuhonnyh-nozhej-ardesto-gemini-ar2133ss.html,439,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1091691176,,,,,1853743,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Weilor,weilor,Варильна поверхня Domino Weilor GG 306 WH,,3999,1,https://comfy.ua/varochnaja-panel-domino-weilor-gg-306-wh.html,5099,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1091691238,7032074,HUILE TOYS,"""Игрушка Huile Toys """"Тележка с мороженным"""" (6101)""",826,1929577,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Huile Toys,huile-toys,Інтерактивна іграшка пластикова Huile Toys Візок з морозивом (6101),,1065,1,https://comfy.ua/interaktivnaja-igrushka-plastikovaja-huile-toys-telezhka-s-morozhenym-6101.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1091691241,7170819,MINOLA,Встраиваемая микроволновая печь MINOLA BWO 2011 WH,7199,1911110,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Minola,minola,Мікрохвильова піч (НВЧ) вбудовувана Minola BWO 2011 WH,,7199,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-minola-bwo-2011-wh.html,8999,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1091691258,7170820,PERFELLI,Встраиваемая микроволновая печь PERFELLI BM 205 GLB,6649,1911317,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Perfelli,perfelli,Мікрохвильова піч (НВЧ) вбудовувана Perfelli BM 205 GLB,,7499,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-perfelli-bm-205-glb.html,9999,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1091691275,6809798,PERFELLI,Встраиваемая микроволновая печь PERFELLI BM 205 GLW,7999,1911318,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Perfelli,perfelli,Мікрохвильова піч (НВЧ) вбудовувана Perfelli BM 205 GLW,,7999,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-perfelli-bm-205-glw.html,9999,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1091700978,,,,,1885712,Смартфоны и телефоны >> Аксессуары для смартфонов,promate,Мережевий зарядний пристрій Promate Powerport-33 Black,,799,1,https://comfy.ua/catalog/product/view/id/3304933,999,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1091700979,,,,,1885714,Смартфоны и телефоны >> Аксессуары для смартфонов,promate,Мережевий зарядний пристрій Promate Powerport-33 White,,799,1,https://comfy.ua/catalog/product/view/id/3304923,999,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1091704338,,,,,1909116,Посуда >> Для приготовления,ardesto,Набір посуду Ardesto AR1906SG Gemini Livorno 6 пр.,,1599,1,https://comfy.ua/nabor-posudy-ardesto-ar1906sg-gemini-livorno-6-pr.html,2449,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,3
1091707223,6770012,FUJI,cam. FUJI Instax LINK WIDE M EX D GRAY,6799,1917702,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Принтеры и МФУ >> Принтеры и МФУ Fujifilm",fujifilm,Фотопринтер Fujifilm INSTAX Link Wide M Gray EX D (16719586),,7519,1,https://comfy.ua/fotoprinter-fujifilm-instax-link-wide-m-gray-ex-d-16719586.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
