1668988782,column,column,column,column,2882477,________krosno,krosno,__krosno_balance_250__6__788975,column,467,1,httpscomfyuanaborbokalovkrosnobalance250ml6sht788975html,column,05112025_1945,column,__42,Фастів,0
1669021236,,,,,2884053,Посуда >> Для сервировки >> Рюмки и стопки >> Рюмки и стопки Krosno,krosno,Стопка Krosno STERLING 35 мл 6 шт. (795331),,2318,1,https://comfy.ua/stopka-krosno-sterling-35-ml-6-sht-795331.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1669021879,,,,,2886577,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno INEL 250 мл 6 шт. (870892),,2749,1,https://comfy.ua/nabor-bokalov-krosno-inel-250-ml-6-sht-870892.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1669021882,,,,,2886581,Посуда >> Для сервировки >> Бокалы >> Бокалы Krosno,krosno,Набір келихів Krosno INEL 700 мл 6 шт. (871073),,2866,1,https://comfy.ua/nabor-bokalov-krosno-inel-700-ml-6-sht-871073.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
1669023675,,,,,2919523,Бытовая химия >> Средства для стирки,silan,"Ополіскувач для білизни Silan Ароматерапія Захоплюючий Франджіпані 1,1 мл",,154,1,https://comfy.ua/opolaskivatel-dlja-bel-ja-silan-aromaterapija-zahvatyvajuschij-frandzhipan-1-1-ml.html,241,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1669023676,,,,,2884159,Бытовая химия >> Все для уборки >> Салфетки бытовые >> Салфетки бытовые Добра господарочка,dobra-gospodarochka,Серветка побутова Добра господарочка 50х60 см 1 шт. (4820086521055),,37,1,https://comfy.ua/salfetka-bytovaja-dobra-gospodarochka-50h60-sm-1-sht-4820086521055.html,52,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1669023677,7030346,ДОБРА ГОСПОДАРОЧКА,Салфетки универсальные ДОБРА ГОСПОДАРОЧКА с перфорацией Black&White 23х30 см 2 рул по 30 шт (4820086522649),178,2882435,Бытовая химия >> Все для уборки >> Салфетки бытовые >> Салфетки бытовые Добра господарочка,dobra-gospodarochka,Серветка побутова Добра господарочка Black&White 23х30 см 2 рулони по 30 шт. (4820086522649),,180,1,https://comfy.ua/salfetka-bytovaja-dobra-gospodarochka-black-white-23h30-sm-2-rulona-po-30-sht-4820086522649.html,299,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1669023799,,,,,2882494,Посуда >> Для напитков >> Кувшины и графины >> Кувшины и графины Krosno,krosno,Графін Krosno PURE 900 мл (792514),,146,1,https://comfy.ua/grafin-krosno-pure-900-ml-792514.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1669023800,,,,,2882495,Посуда >> Для напитков >> Кувшины и графины >> Кувшины и графины Krosno,krosno,Графін Krosno PURE 1 л (792491),,351,1,https://comfy.ua/grafin-krosno-pure-1-l-792491.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1669023801,,,,,2882498,Посуда >> Для напитков >> Кувшины и графины >> Кувшины и графины Krosno,krosno,Глечик Krosno AVANT-GARDE 1 л (792446),,665,1,https://comfy.ua/kuvshin-krosno-avant-garde-1-l-792446.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1669023802,,,,,2884048,Посуда >> Для напитков >> Кувшины и графины >> Кувшины и графины Krosno,krosno,"Глечик Krosno GLAMOUR 1,3 л (794570)",,798,1,https://comfy.ua/kuvshin-krosno-glamour-1-3-l-794570.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
