780960492,,,,,1736599,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Фермерський ринок (WZ6630),,1989,1,https://comfy.ua/kollekcionnye-figurki-li-l-woodzeez-fermerskij-rynok-wz6630.html,,06.11.2025 1:43,,"вул. Соборна, 42",Фастів,0
781150008,,,,,1715737,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Samsung 220V 19V 60W 3.16A (SA60F5530),,549,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-samsung-220v-19v-60w-3-16a-sa60f5530.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
781515564,,,,,1734057,Техника для кухни >> Крупная техника,grunhelm,Піч електрична Grunhelm GN3301RHP,,3249,1,https://comfy.ua/catalog/product/view/id/1871253,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
781555791,,,,,1732071,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры MSI",msi,Клавіатура дротова ігрова MSI Vigor GK20 UA,,949,1,https://comfy.ua/klaviatura-provodnaja-igrovaja-msi-vigor-gk20-ua.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
781597974,,,,,1735996,"Дом, отдых и зоотовары >> Освещение",videx,Настільна лампа Videx VL-TF05B 7W 3000-5500K 220V (25945),,1359,1,https://comfy.ua/catalog/product/view/id/1888773,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
781618082,6656543,APACER,Флеш-драйв APACER AH25B 32GB USB 3.1 Black (AP32GAH25BB-1),229,1731270,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Apacer",apacer,Флеш USB Apacer AH25B 32GB USB 3.1  Black (AP32GAH25BB-1),,199,1,https://comfy.ua/flesh-usb-apacer-ah25b-32gb-usb-3-1-black-ap32gah25bb-1.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
781618082,6986618,APACER,Флеш-драйв APACER AH25B 32GB  USB 3.2 Black (AP32GAH25BB-1),200,1731270,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Apacer",apacer,Флеш USB Apacer AH25B 32GB USB 3.1  Black (AP32GAH25BB-1),,199,1,https://comfy.ua/flesh-usb-apacer-ah25b-32gb-usb-3-1-black-ap32gah25bb-1.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
781643145,,,,,1732701,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель синхронізації даних UGREEN US290 USB - Micro USB Cable Aluminum Braid 1m White (60151),,209,1,https://comfy.ua/catalog/product/view/id/1888403,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
781817743,,,,,1736563,Техника для кухни >> Мелкая техника,bamix,Насадка для блендера Bamix 460.051,,665,1,https://comfy.ua/catalog/product/view/id/1888433,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
781828471,6601734,HEREVIN,Бутылка для масла HEREVIN Olive DEC 0.75 л (151145-000),139,1736994,Посуда >> Для сервировки >> Прочие предметы сервировки >> Прочие предметы сервировки Herevin,herevin,Ємність для олії і оцту Herevin Olive Dec 0.75 л (151145-000),,199,1,https://comfy.ua/emkost-dlja-masla-i-uksusa-herevin-olive-dec-0-75-l-151145-000.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
781944550,6721781,STARK,Дрель STARK ID 900 Profi (120090030),1597,1722934,Инструменты и автотовары >> Электроинструменты,stark,Електродриль Stark ID 900 Profi (120090030),,1599,1,https://comfy.ua/catalog/product/view/id/1877263,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
781944721,,,,,1720230,Инструменты и автотовары >> Электроинструменты >> Дрели электрические >> Дрели электрические Stark,stark,Дриль-мiксер Stark HM-1050 (120060040),,2489,1,https://comfy.ua/drel-mikser-stark-hm-1050-120060040.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
781944754,6721782,STARK,Дрель STARK ID 500 (120015041),1263,1720232,Инструменты и автотовары >> Электроинструменты >> Дрели электрические >> Дрели электрические Stark,stark,Електродриль Stark ID 500 (120015041),,1265,1,https://comfy.ua/jelektrodrel-stark-id-500-120015041.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
781945088,,,,,1735834,Инструменты и автотовары >> Электроинструменты >> Дрели электрические >> Дрели электрические Stark,stark,Електродриль Stark EDC 550 Pro (120055040),,999,1,https://comfy.ua/jelektrodrel-stark-edc-550-pro-120055040.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
781989225,6635768,BOSCH,Набор бит BOSCH Promobasket Set - 27 (2.607.017.392),1033,1721421,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты Bosch,bosch,Біта для викрутки Bosch Promobasket Set - 27 (2.607.017.392),,1035,1,https://comfy.ua/nabor-bit-dlja-otvertki-bosch-promobasket-set-27-2-607-017-392.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
782006298,6569501,СВІТЯЗЬ,Пистолет для монтажной пены Свитязь FG-3108 (69766),185,1732064,Инструменты и автотовары >> Электроинструменты >> Клеевые пистолеты >> Клеевые пистолеты Світязь,svitjaz,Клейовий пістолет Свiтязь FG-3108,,235,1,https://comfy.ua/kleevoj-pistolet-svitjaz-fg-3108.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
