787295682,column,column,column,column,1742465,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_icon_for_samsung_galaxy_a72_sma725_black_033mm_arm58088,column,149,1,httpscomfyuazaschitnoesteklodljasmartfonaarmorstandarticonforsamsunggalaxya72sma725black033mmarm58088html,column,05112025_1806,column,__42,Фастів,0
787831436,7040959,TEKHMANN,Аккумулятор TEKHMANN TAB-20/i20 Li (848401),1380,1740669,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Tekhmann,tekhmann,Акумулятор для електроінструментів Tekhmann TAB-20/i20 Li (848401),,1225,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-tekhmann-tab-20-i20-li-848401.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
787836350,,,,,1740973,Инструменты и автотовары >> Электроинструменты >> Электролобзики >> Электролобзики Einhell,einhell,Електролобзик Einhell TE-JS 18 Li Solo (4321200),,2749,1,https://comfy.ua/jelektrolobzik-einhell-te-js-18-li-solo-4321200.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
787849036,6661129,BOSCH,Тостер BOSCH TAT5P425,3449,1742788,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Bosch,bosch,Тостер Bosch TAT5P425,,3449,1,https://comfy.ua/toster-bosch-tat5p425.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
787852413,7060517,RIEDEL,Набор бокалов RIEDEL CHAMPAGNE WINE GLASS SUPERLEGGERO 460 мл 2 шт  (2425/28-265),5841,1738993,Посуда >> Для сервировки >> Бокалы и рюмки >> Бокалы и рюмки Riedel,riedel,Набір келихів Riedel 2425/28-265,,7071,1,https://comfy.ua/nabor-bokalov-riedel-2425-28-265.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
787864036,,,,,1718096,Техника для кухни >> Крупная техника,snaige,Морозильна камера Snaige F27SM-T1000E,,21395,1,https://comfy.ua/catalog/product/view/id/1899723,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
787864212,,,,,1698082,Техника для кухни >> Крупная техника,ventolux,Витяжка декоративна Ventolux LIDO 50 BR (700),,3399,1,https://comfy.ua/catalog/product/view/id/1906663,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
787867280,,,,,1734866,Техника для дома >> Мелкая техника,philips,Вертикальний відпарювач ручний Philips GC810/20,,5299,1,https://comfy.ua/catalog/product/view/id/1900893,6499,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
787868226,,,,,1741078,Техника для дома >> Климатическая техника,saturn,Тепловентилятор Saturn ST-HT1245K White,,675,1,https://comfy.ua/catalog/product/view/id/1908773,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
787869179,,,,,1732367,Техника для кухни >> Крупная техника,electrolux,Холодильник Electrolux RNT7ME34X2,,35899,1,https://comfy.ua/catalog/product/view/id/1927143,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
787876646,,,,,1743640,Смарт-часы и гаджеты >> Смарт-часы,amigo,Дитячий годинник AmiGo GO005 4G WIFI Thermometer Purple,,3999,1,https://comfy.ua/catalog/product/view/id/1927813,4499,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
787876647,,,,,1743637,Смарт-часы и гаджеты >> Смарт-часы,amigo,Дитячий годинник AmiGo GO005 4G WIFI Thermometer Black,,3999,1,https://comfy.ua/catalog/product/view/id/1927783,4499,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
