783572347,column,column,column,column,1739395,Детские товары >> Игрушки,tigres,__tigres___30__0209,column,519,1,httpscomfyuamjagkajaigrushkazhivotnoetigresmishkahani30smve0209html,column,06112025_136,column,__42,Фастів,0
784115987,,,,,1739398,Детские товары >> Игрушки,tigres,"""М'яка іграшка Tigres Мишка """"Маріуш"""", 30 см, (ВЕ-0211)""",,499,1,https://comfy.ua/catalog/product/view/id/1898693,,06.11.2025 1:27,,"вул. Соборна, 42",Фастів,0
784117337,7009828,TOLSEN,Набор отверток TOLSEN 6 шт (20031),55,1721013,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Tolsen,tolsen,Набір викруток Tolsen 6 шт. (20031),,76,1,https://comfy.ua/nabor-otvertok-tolsen-6-sht-20031.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
784117341,,,,,1733615,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Neo Tools,neo-tools,Викрутка Neo Tools 04-115 S2 PH00x50 мм,,90,1,https://comfy.ua/otvertka-neo-tools-04-115-s2-ph00x50-mm.html,,05.11.2025 22:12,,"вул. Соборна, 42",Фастів,0
784117342,6686980,NEO TOOLS,Отвертка Neo Tools прецизионная 2.0 x 50 мм S2 (04-112),90,1733612,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Neo Tools,neo-tools,Викрутка Neo Tools 04-112 S2 2.0x50 мм,,90,1,https://comfy.ua/otvertka-neo-tools-04-112-s2-2-0x50-mm.html,,05.11.2025 22:31,,"вул. Соборна, 42",Фастів,0
784117343,6945240,TOLSEN,Набор отверток TOLSEN SL6.5 38 мм + PH2 38 мм (20181),79,1735449,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Tolsen,tolsen,Набір викруток Tolsen SL6.5x38мм+PH2x38 мм (20181),,79,1,https://comfy.ua/nabor-otvertok-tolsen-sl6-5x38mm-ph2x38-mm-20181.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
784118494,7041506,TOLSEN,Плоскогубцы TOLSEN ЕРГО 180 мм (10001),172,1734936,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Tolsen",tolsen,Плоскогубці Tolsen 180 мм Ерго (10001),,195,1,https://comfy.ua/ploskogubcy-tolsen-180-mm-ergo-10001.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
784118554,,,,,1737358,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники BerlingerHaus,berlingerhaus,Сотейник BerlingerHaus Black Rose Collection (BH 1640N),,2615,1,https://comfy.ua/sotejnik-berlingerhaus-black-rose-collection-bh-1640n.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
784118951,6686989,NEO TOOLS,Отвертка NEO TOOLS PH2 (04-139),185,1733626,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Neo Tools,neo-tools,Викрутка Neo Tools 04-139 PH2x4.5x100 мм,,185,1,https://comfy.ua/otvertka-neo-tools-04-139-ph2x4-5x100-mm.html,,05.11.2025 22:31,,"вул. Соборна, 42",Фастів,0
784118955,6686990,NEO TOOLS,Отвертка NEO TOOLS PH2 (04-140),219,1733629,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Neo Tools,neo-tools,Викрутка Neo Tools 04-140 PH2x6x175 мм,,219,1,https://comfy.ua/otvertka-neo-tools-04-140-ph2x6x175-mm.html,,05.11.2025 22:12,,"вул. Соборна, 42",Фастів,0
784120025,6945438,TOLSEN,Клещи для снятия изоляции TOLSEN 160 мм (10013),156,1734935,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Tolsen",tolsen,Кліщі Tolsen 160 мм Ерго (10013),,195,1,https://comfy.ua/kleschi-tolsen-160-mm-ergo-10013.html,,05.11.2025 23:21,,"вул. Соборна, 42",Фастів,0
784122949,6662386,TEFAL,Утюг TEFAL FV6820E0,2799,1740234,Техника для дома >> Мелкая техника >> Утюги >> Утюги Tefal,tefal,Праска Tefal FV6820E0,,2799,1,https://comfy.ua/utjug-tefal-fv6820e0.html,3399,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,2
784122950,7170852,WEILOR,Варочная поверхность WEILOR GM W 904 SS,14999,1740082,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Weilor,weilor,Варильна поверхня газова Weilor GM W 904 SS,,14999,1,https://comfy.ua/varochnaja-panel-gazovaja-weilor-gm-w-904-ss.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
784127596,,,,,1633227,Техника для дома >> Аксессуары к крупной технике >> Комплекты креплений для установки >> Комплекты креплений для установки Beko,beko,Комплект кріплень для установки в колону Beko SKWS54,,3889,1,https://comfy.ua/komplekt-kreplenij-dlja-ustanovki-v-kolonnu-beko-skws54.html,4299,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
784127604,6686982,NEO TOOLS,Отвертка NEO TOOLS 3.0 x 50 мм (04-114),90,1733613,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Neo Tools,neo-tools,Викрутка Neo Tools 04-114 S2 3.0x50 мм,,90,1,https://comfy.ua/otvertka-neo-tools-04-114-s2-3-0x50-mm.html,,05.11.2025 22:12,,"вул. Соборна, 42",Фастів,0
784129504,,,,,.1739553,Техника для дома >> Аксессуары к мелкой технике,cecotec,Тканина для чищення Cecotec Conga Winddroid 970/980,,649,1,https://comfy.ua/chistjaschaja-tkan-cecotec-conga-winddroid-970-980.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
784129932,,,,,1739346,Детские товары >> Игрушки для малышей >> Игрушки для ванной >> Игрушки для ванной Canpol babies,canpol-babies,Іграшка для ванної Canpol babies Кухлики для купання HELLO LITTLE 3 шт. (56/000),,405,1,https://comfy.ua/igrushka-bryzgalka-dlja-vannoj-canpol-babies-kruzhechki-dlja-kupanija-hello-little-3-sht-56-000.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
784129934,,,,,1739156,Детские товары >> Подгузники и пеленание,smile,"Вологі серветки для немовлят Smile Baby Мультипак Екстракт ромашки та алое 2 + 1, 60 шт.  (42113803)",,175,1,https://comfy.ua/vlazhnye-salfetki-dlja-grudnichkov-smile-baby-mul-tipak-jekstrakt-romashki-i-aloje-2-1-60-sht-42113803.html,205,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
784136218,6686159,BOSCH,Мотокоса BOSCH AFS 23-37 (0.600.8A9.000),4375,1733936,"Инструменты и автотовары >> Садовые инструменты >> Триммеры, мотокосы, электрокосы >> Триммеры, мотокосы, электрокосы Bosch",bosch,Тример садовий Bosch AFS 23-37 (0.600.8A9.000),,4375,1,https://comfy.ua/trimmer-sadovyj-bosch-afs-23-37-0-600-8a9-000.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
