1089913276,,,,,.1908673,Детские товары >> Детский транспорт,trybike,Біговел Trybike Pink (TBS-2-PNK-VIN+TBS-100-TKV),,3999,1,https://comfy.ua/begovel-trybike-pink-tbs-2-pnk-vin-tbs-100-tkv.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1089913280,,,,,1920063,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Battat,battat,Інерційний ігровий транспорт для малюка Battat Кумедний Автопарк (BX1995Z),,1995,1,https://comfy.ua/inercionnyj-igrovoj-transport-dlja-malysha-battat-zabavnyj-avtopark-bx1995z.html,,05.11.2025 23:19,,"вул. Соборна, 42",Фастів,0
1089913300,,,,,1918629,Детские товары >> Творчество и развитие >> Лепка >> Лепка Ліпака,lipaka,"Маса для ліплення Ліпака Меганабір пластиліну, що самостійно твердіє Тварини (15012-UA01)",,429,1,https://comfy.ua/massa-dlja-lepki-lipaka-meganabor-samozatverdevajuschego-plastilina-zhivotnye-15012-ua01.html,625,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1089913324,6812088,BOSCH,Встраиваемый холодильник BOSCH KIS87AF30U,49999,1918219,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Bosch,bosch,Холодильник вбудований Bosch KIS87AF30U,,49999,1,https://comfy.ua/holodil-nik-vstraivaemyj-bosch-kis87af30u.html,56599,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1089913329,,,,,1918628,Детские товары >> Творчество и развитие >> Лепка >> Лепка Ліпака,lipaka,"Маса для ліплення Ліпака Набір пластиліну, що самостійно твердіє Кролик (30050-UA01)",,99,1,https://comfy.ua/massa-dlja-lepki-lipaka-nabor-samozatverdevajuschego-plastilina-krolik-30050-ua01.html,145,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1089913335,6785601,2E,Портативная акустика 2E SoundXTube Plus TWS Red (2E-BSSXTPWRD),1999,1920231,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки 2E",2e,Портативна акустика 2E SoundXTube Plus TWS MP3 Wireless Waterproof Red (2E-BSSXTPWRD),,1999,1,https://comfy.ua/portativnaja-akustika-2e-soundxtube-plus-tws-mp3-wireless-waterproof-red-2e-bssxtpwrd.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1089913356,,,,,1918627,Детские товары >> Творчество и развитие >> Лепка >> Лепка Ліпака,lipaka,"Маса для ліплення Ліпака Набір пластиліну, що самостійно твердіє Вівця (30049-UA01)",,99,1,https://comfy.ua/massa-dlja-lepki-lipaka-nabor-samozatverdevajuschego-plastilina-ovechka-30049-ua01.html,145,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1089913357,,,,,1918626,Детские товары >> Творчество и развитие >> Лепка >> Лепка Ліпака,lipaka,"Маса для ліплення Ліпака Набір пластиліну, що самостійно твердіє Песик (30048-UA01)",,99,1,https://comfy.ua/massa-dlja-lepki-lipaka-nabor-samozatverdevajuschego-plastilina-pjosik-30048-ua01.html,145,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1089913361,6785600,2E,Портативная акустика 2E SoundXTube Plus TWS Blue (2E-BSSXTPWBL),1999,1920230,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки 2E",2e,Портативна акустика 2E SoundXTube Plus TWS MP3 Wireless Waterproof Blue (2E-BSSXTPWBL),,1999,1,https://comfy.ua/portativnaja-akustika-2e-soundxtube-plus-tws-mp3-wireless-waterproof-blue-2e-bssxtpwbl.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1089913362,,,,,1917709,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки goki,goki,Сортер goki Тварини 56765G,,539,1,https://comfy.ua/sorter-goki-zhivotnye-56765g.html,672,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
1089913381,,,,,1918623,Детские товары >> Творчество и развитие >> Лепка >> Лепка Ліпака,lipaka,"Маса для ліплення Ліпака Набір пластиліну, що самостійно твердіє Поросятко (30045-UA01)",,99,1,https://comfy.ua/massa-dlja-lepki-lipaka-nabor-samozatverdevajuschego-plastilina-porosjonok-30045-ua01.html,145,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
1089913395,,,,,1918625,Детские товары >> Творчество и развитие >> Лепка >> Лепка Ліпака,lipaka,"Маса для ліплення Ліпака Набір пластиліну, що самостійно твердіє Корівка (30047-UA01)",,99,1,https://comfy.ua/massa-dlja-lepki-lipaka-nabor-samozatverdevajuschego-plastilina-korovka-30047-ua01.html,145,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1089913419,,,,,1918624,Детские товары >> Творчество и развитие >> Лепка >> Лепка Ліпака,lipaka,"Маса для ліплення Ліпака Набір пластиліну, що самостійно твердіє Конячка (30046-UA01)",,99,1,https://comfy.ua/massa-dlja-lepki-lipaka-nabor-samozatverdevajuschego-plastilina-loshadka-30046-ua01.html,145,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1089913433,6659094,BOSCH,Варочная поверхность BOSCH PCS7A5M90,24999,1918220,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Bosch,bosch,Варильна поверхня газова Bosch PCS7A5M90,,24999,1,https://comfy.ua/varochnaja-panel-gazovaja-bosch-pcs7a5m90.html,28699,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1089913444,6775445,ARDESTO,Ирригатор ARDESTO стационарный 600 мл + электрическая зубная щетка White (OI-R600WTB),1499,1909120,Красота и здоровье >> Уход за полостью рта >> Ирригаторы и насадки >> Ирригаторы и насадки Ardesto,ardesto,Іригатор Ardesto OI-R600WTB,,1499,1,https://comfy.ua/irrigator-ardesto-oi-r600wtb.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1089913543,,,,,1880888,Comfy KIDS >> Детский транспорт >> Велосипеды >> Велосипеды Kinderkraft,kinderkraft,Триколісний велосипед Kinderkraft Spinstep Mauvelous Pink (KRSPST00PNK0000),,6690,1,https://comfy.ua/trjohkoljosnyj-velosiped-kinderkraft-spinstep-mauvelous-pink-krspst00pnk0000.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
